# s_ref,X_ref,Y_ref,phi_ref,kappa_ref,right_width,left_width
121.391155,-42.352989,35.857587,-1.255944,-0.009381,1.749999,1.750001
121.491148,-42.322072,35.762505,-1.256895,-0.009656,1.749999,1.750001
121.591140,-42.291248,35.667399,-1.257874,-0.009931,1.749999,1.750001
121.691133,-42.260521,35.572268,-1.258881,-0.010207,1.749999,1.750001
121.791126,-42.229893,35.477111,-1.259915,-0.010482,1.749999,1.750001
121.891118,-42.199366,35.381929,-1.260977,-0.010758,1.749999,1.750001
121.991111,-42.168944,35.286720,-1.262066,-0.011034,1.749999,1.750001
122.091104,-42.138629,35.191484,-1.263182,-0.011310,1.749999,1.750001
122.191097,-42.108424,35.096221,-1.264327,-0.011587,1.749999,1.750001
122.291089,-42.078331,35.000929,-1.265498,-0.011863,1.749999,1.750001
122.391082,-42.048353,34.905609,-1.266698,-0.012140,1.749999,1.750001
122.491075,-42.018493,34.810260,-1.267924,-0.012417,1.749999,1.750001
122.591067,-41.988754,34.714881,-1.269179,-0.012694,1.749999,1.750001
122.691060,-41.959139,34.619472,-1.270461,-0.012972,1.749999,1.750001
122.791053,-41.929649,34.524033,-1.271770,-0.013249,1.749999,1.750001
122.891046,-41.900289,34.428566,-1.273102,-0.013351,1.750001,1.749999
122.991038,-41.871059,34.333069,-1.274435,-0.013332,1.750001,1.749999
123.091031,-41.841958,34.237540,-1.275765,-0.013312,1.750001,1.749999
123.191024,-41.812986,34.141978,-1.277094,-0.013292,1.750001,1.749999
123.291016,-41.784142,34.046381,-1.278420,-0.013272,1.750001,1.749999
123.391009,-41.755426,33.950749,-1.279744,-0.013250,1.750001,1.749999
123.491002,-41.726836,33.855082,-1.281066,-0.013229,1.750001,1.749999
123.590995,-41.698374,33.759378,-1.282386,-0.013206,1.750001,1.749999
123.690987,-41.670038,33.663636,-1.283703,-0.013184,1.750001,1.749999
123.790980,-41.641827,33.567857,-1.285018,-0.013160,1.750001,1.749999
123.890973,-41.613742,33.472039,-1.286331,-0.013136,1.750001,1.749999
123.990965,-41.585782,33.376181,-1.287642,-0.013112,1.750001,1.749999
124.090958,-41.557947,33.280283,-1.288950,-0.013087,1.750001,1.749999
